source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0010287,plastoglobule,1.1464264497761126e-10,True,"""A lipoprotein particle present in chloroplasts. They are rich in non-polar lipids (triglycerides, esters) as well as in prenylquinones, plastoquinone and tocopherols. Plastoglobules are often associated with thylakoid membranes, suggesting an exchange of lipids with thylakoids."" [GOC:tair_curators, PMID:16461379]",22,322,12,9569,0.037267080745341616,0.5454545454545454,query_1,"['GO:0009570', 'GO:0110165']"
GO:BP,GO:0006091,generation of precursor metabolites and energy,4.795321207221986e-10,True,"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]",418,387,42,13630,0.10852713178294573,0.10047846889952153,query_1,['GO:0008152']
GO:CC,GO:0005737,cytoplasm,6.643712989653624e-10,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",4062,322,197,9569,0.6118012422360248,0.04849827671097981,query_1,"['GO:0005622', 'GO:0110165']"
GO:BP,GO:0009416,response to light stimulus,9.878428227129302e-08,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."" [GOC:go_curators, ISBN:0582227089]",191,387,25,13630,0.06459948320413436,0.13089005235602094,query_1,['GO:0009314']
GO:BP,GO:0009314,response to radiation,1.7289023702584241e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:jl, Wikipedia:Electromagnetic_radiation]",196,387,25,13630,0.06459948320413436,0.12755102040816327,query_1,['GO:0009628']
GO:MF,GO:0016168,chlorophyll binding,4.364729083530214e-07,True,"""Binding to a chlorophyll; a compound of magnesium complexed in a porphyrin (tetrapyrrole) ring and which functions as a photosynthetic pigment."" [GOC:jl]",41,416,11,17687,0.026442307692307692,0.2682926829268293,query_1,['GO:0046906']
GO:CC,GO:0098796,membrane protein complex,6.041531620501528e-07,True,"""Any protein complex that is part of a membrane."" [GOC:dos]",414,322,39,9569,0.12111801242236025,0.09420289855072464,query_1,"['GO:0016020', 'GO:0032991']"
GO:CC,GO:0031090,organelle membrane,8.970867040412129e-07,True,"""A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."" [GOC:dos, GOC:mah]",826,322,60,9569,0.18633540372670807,0.07263922518159806,query_1,"['GO:0016020', 'GO:0043227']"
GO:CC,GO:0009538,photosystem I reaction center,1.874870515309517e-06,True,"""A photochemical system containing P700, the chlorophyll a dimer that functions as a primary electron donor. Functioning as a light-dependent plastocyanin-ferredoxin oxidoreductase, it transfers electrons from plastocyanin to ferredoxin."" [GOC:kd, ISBN:0943088399]",11,322,7,9569,0.021739130434782608,0.6363636363636364,query_1,"['GO:0009522', 'GO:0098796']"
GO:BP,GO:0044281,small molecule metabolic process,2.902490683333042e-06,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",1183,387,69,13630,0.17829457364341086,0.058326289095519866,query_1,['GO:0008152']
GO:CC,GO:0043232,intracellular membraneless organelle,4.873169124640989e-06,True,"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]",1425,322,85,9569,0.2639751552795031,0.05964912280701754,query_1,"['GO:0043228', 'GO:0043229']"
GO:CC,GO:0043228,membraneless organelle,4.873169124640989e-06,True,"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]",1425,322,85,9569,0.2639751552795031,0.05964912280701754,query_1,['GO:0043226']
GO:CC,GO:0009654,photosystem II oxygen evolving complex,5.772043462377777e-06,True,"""A complex, composed of a cluster of manganese, calcium and chloride ions bound to extrinsic proteins, that catalyzes the splitting of water to O2 and 4 H+. In cyanobacteria there are five extrinsic proteins in OEC (PsbO, PsbP-like, PsbQ-like, PsbU and PsbV), while in plants there are only three (PsbO, PsbP and PsbQ)."" [GOC:cjm, InterPro:IPR002683]",24,322,9,9569,0.027950310559006212,0.375,query_1,"['GO:0009523', 'GO:0042651', 'GO:0098796', 'GO:1990204']"
GO:CC,GO:1990204,oxidoreductase complex,1.4574031687375806e-05,True,"""Any protein complex that possesses oxidoreductase activity."" [GOC:bhm, PMID:18982432]",62,322,13,9569,0.040372670807453416,0.20967741935483872,query_1,['GO:1902494']
GO:BP,GO:0009628,response to abiotic stimulus,1.5163318589472551e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",497,387,38,13630,0.09819121447028424,0.07645875251509054,query_1,['GO:0050896']
GO:MF,GO:0016829,lyase activity,8.289323877316874e-05,True,"""Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring."" [EC:4.-.-.-]",355,416,26,17687,0.0625,0.07323943661971831,query_1,['GO:0003824']
GO:BP,GO:0009773,photosynthetic electron transport in photosystem I,0.00022644229402165244,True,"""A photosynthetic electron transport chain in which electrons move from the primary electron acceptor (Quinone, X) through a chain of electron transport molecules in the thylakoid membrane until they reach ferredoxin which passes the electron to the ultimate electron acceptor; NADP."" [GOC:jid, ISBN:0716731363, ISBN:0816017360]",12,387,6,13630,0.015503875968992248,0.5,query_1,['GO:0009767']
GO:BP,GO:0006544,glycine metabolic process,0.0007011807760587858,True,"""The chemical reactions and pathways involving glycine, aminoethanoic acid."" [GOC:go_curators]",14,387,6,13630,0.015503875968992248,0.42857142857142855,query_1,['GO:0009069']
GO:BP,GO:0015994,chlorophyll metabolic process,0.001644596274941605,True,"""The chemical reactions and pathways involving chlorophyll, any compound of magnesium complexed in a porphyrin (tetrapyrrole) ring and which functions as a photosynthetic pigment."" [GOC:jl]",33,387,8,13630,0.020671834625323,0.24242424242424243,query_1,['GO:0006778']
GO:BP,GO:0006546,glycine catabolic process,0.0017578054051504157,True,"""The chemical reactions and pathways resulting in the breakdown of glycine, aminoethanoic acid."" [GOC:go_curators]",5,387,4,13630,0.0103359173126615,0.8,query_1,"['GO:0006544', 'GO:0009071']"
GO:BP,GO:0019464,glycine decarboxylation via glycine cleavage system,0.0017578054051504157,True,"""The chemical reactions and pathways resulting in the breakdown of glycine by oxidative cleavage to carbon dioxide, ammonia, and a methylene group, mediated by enzymes of the glycine cleavage complex."" [MetaCyc:GLYCLEAV-PWY]",5,387,4,13630,0.0103359173126615,0.8,query_1,['GO:0006546']
GO:BP,GO:0006520,amino acid metabolic process,0.0025653078046676877,True,"""The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups."" [ISBN:0198506732]",361,387,27,13630,0.06976744186046512,0.07479224376731301,query_1,['GO:0044238']
GO:BP,GO:0009767,photosynthetic electron transport chain,0.0026333866980711635,True,"""A process, occurring as part of photosynthesis, in which light provides the energy for a series of electron carriers to operate together to transfer electrons and generate a transmembrane electrochemical gradient."" [GOC:mtg_electron_transport, ISBN:0198547684]",58,387,10,13630,0.025839793281653745,0.1724137931034483,query_1,"['GO:0019684', 'GO:0022900']"
GO:BP,GO:0043436,oxoacid metabolic process,0.0034290463197338148,True,"""The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."" [Wikipedia:Oxyacid]",715,387,42,13630,0.10852713178294573,0.05874125874125874,query_1,['GO:0006082']
GO:BP,GO:0006082,organic acid metabolic process,0.003549349414257476,True,"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",716,387,42,13630,0.10852713178294573,0.05865921787709497,query_1,['GO:0044281']
GO:BP,GO:0019752,carboxylic acid metabolic process,0.004021348795454205,True,"""The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [ISBN:0198506732]",695,387,41,13630,0.10594315245478036,0.058992805755395686,query_1,['GO:0043436']
GO:CC,GO:0030093,chloroplast photosystem I,0.0052592394325601125,True,"""Photosystem located in the chloroplast that functions as a light-dependent plastocyanin-ferredoxin oxidoreductase, transferring electrons from plastocyanin to ferredoxin. An example of this is found in Arabidopsis thaliana."" [GOC:jid, GOC:mtg_sensu]",3,322,3,9569,0.009316770186335404,1.0,query_1,"['GO:0009522', 'GO:0098807']"
GO:BP,GO:0170039,proteinogenic amino acid metabolic process,0.005269047655452277,True,"""The chemical reactions and pathways involving any amino acid that is incorporated into protein naturally by ribosomal translation of mRNA, and that has a specific codon for translation from mRNA to protein."" [GOC:ew]",174,387,17,13630,0.04392764857881137,0.09770114942528736,query_1,"['GO:0006520', 'GO:0019752']"
GO:CC,GO:0043231,intracellular membrane-bounded organelle,0.005572989719522292,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",5083,322,206,9569,0.639751552795031,0.04052724768837301,query_1,"['GO:0043227', 'GO:0043229']"
GO:CC,GO:0043227,membrane-bounded organelle,0.0068380929892700075,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",5096,322,206,9569,0.639751552795031,0.04042386185243328,query_1,['GO:0043226']
GO:BP,GO:0042440,pigment metabolic process,0.00869962780592341,True,"""The chemical reactions and pathways involving pigment, any general or particular coloring matter in living organisms, e.g. melanin."" [GOC:jl, ISBN:0198506732]",66,387,10,13630,0.025839793281653745,0.15151515151515152,query_1,['GO:0008152']
GO:BP,GO:0046148,pigment biosynthetic process,0.009002947168568403,True,"""The chemical reactions and pathways resulting in the formation of a pigment, any general or particular coloring matter in living organisms, e.g. melanin."" [ISBN:0198506732]",53,387,9,13630,0.023255813953488372,0.16981132075471697,query_1,['GO:0042440']
GO:BP,GO:0170033,L-amino acid metabolic process,0.010251494355110009,True,"""The chemical reactions and pathways involving an L-amino acid."" [GOC:edw]",183,387,17,13630,0.04392764857881137,0.09289617486338798,query_1,['GO:1901605']
GO:CC,GO:0010598,NAD(P)H dehydrogenase complex (plastoquinone),0.011023697839027497,True,"""Complex that possesses NAD(P)H dehydrogenase (plastoquinone) activity. The complex is one of the components of the electron transport chain. It is involved in electron transport from an unidentified electron donor, possibly NADH, NADPH or ferredoxin(Fd) to the plastoquinone pool."" [PMID:15608332]",8,322,4,9569,0.012422360248447204,0.5,query_1,['GO:1902494']
GO:MF,GO:0016830,carbon-carbon lyase activity,0.011209821840596343,True,"""Catalysis of the cleavage of C-C bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond."" [GOC:jl]",127,416,12,17687,0.028846153846153848,0.09448818897637795,query_1,['GO:0016829']
GO:BP,GO:0006778,porphyrin-containing compound metabolic process,0.012286158472601064,True,"""The chemical reactions and pathways involving any member of a large group of derivatives or analogs of porphyrin. Porphyrins consists of a ring of four pyrrole nuclei linked each to the next at their alpha positions through a methine group."" [GOC:jl, ISBN:0198506732, Wikipedia:Porphyrin#Natural_formation]",55,387,9,13630,0.023255813953488372,0.16363636363636364,query_1,['GO:0033013']
GO:CC,GO:0019898,extrinsic component of membrane,0.012802198246903615,True,"""The component of a membrane consisting of gene products and protein complexes that are loosely bound to one of its surfaces, but not integrated into the hydrophobic region."" [GOC:dos, GOC:jl, GOC:mah]",33,322,7,9569,0.021739130434782608,0.21212121212121213,query_1,"['GO:0016020', 'GO:0110165']"
GO:BP,GO:0045454,cell redox homeostasis,0.012968203482086701,True,"""Any process that maintains the redox environment of a cell or compartment within a cell."" [GOC:ai, GOC:dph, GOC:tb]",99,387,12,13630,0.031007751937984496,0.12121212121212122,query_1,['GO:0019725']
GO:BP,GO:0044283,small molecule biosynthetic process,0.013450912464283385,True,"""The chemical reactions and pathways resulting in the formation of small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",441,387,29,13630,0.07493540051679587,0.06575963718820861,query_1,"['GO:0009058', 'GO:0044281']"
GO:BP,GO:0019725,cellular homeostasis,0.013578927354326134,True,"""Any process involved in the maintenance of an internal steady state at the level of the cell."" [GOC:isa_complete, GOC:jl, ISBN:0395825172]",187,387,17,13630,0.04392764857881137,0.09090909090909091,query_1,['GO:0042592']
GO:BP,GO:1901605,alpha-amino acid metabolic process,0.015579001376119516,True,"""The chemical reactions and pathways involving an alpha-amino acid."" [GOC:TermGenie]",228,387,19,13630,0.04909560723514212,0.08333333333333333,query_1,"['GO:0006520', 'GO:0019752']"
GO:BP,GO:0009071,serine family amino acid catabolic process,0.016368264150405296,True,"""The chemical reactions and pathways resulting in the breakdown of amino acids of the serine family, comprising cysteine, glycine, homoserine, selenocysteine and serine."" [GOC:ai]",14,387,5,13630,0.012919896640826873,0.35714285714285715,query_1,"['GO:0009069', 'GO:0170035', 'GO:0170040']"
GO:CC,GO:0005960,glycine cleavage complex,0.02051081387314659,True,"""A protein complex that catalyzes the reversible oxidation of glycine. In E. coli, it has four components: dihydrolipoamide dehydrogenase, glycine dehydrogenase (decarboxylating), lipoyl-GcvH-protein and aminomethyltransferase, also known as L, P, H, and T."" [GOC:mah, MetaCyc:GCVMULTI-CPLX]",4,322,3,9569,0.009316770186335404,0.75,query_1,['GO:1990204']
GO:CC,GO:0098807,chloroplast thylakoid membrane protein complex,0.02051081387314659,True,"""A protein complex that is part of a chloroplast thylakoid membrane."" [GOC:dos]",4,322,3,9569,0.009316770186335404,0.75,query_1,"['GO:0009535', 'GO:0098796']"
GO:BP,GO:0033013,tetrapyrrole metabolic process,0.028837877210575624,True,"""The chemical reactions and pathways involving tetrapyrroles, natural pigments containing four pyrrole rings joined by one-carbon units linking position 2 of one pyrrole ring to position 5 of the next."" [GOC:mah]",61,387,9,13630,0.023255813953488372,0.14754098360655737,query_1,['GO:0008152']
GO:BP,GO:0009657,plastid organization,0.047749470155649114,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a plastid."" [GOC:mah]",96,387,11,13630,0.028423772609819122,0.11458333333333333,query_1,['GO:0006996']
GO:CC,GO:0010319,stromule,0.049996659618606554,True,"""Thin filamentous structure extending from the surface of all plastid types examined so far, including chloroplast, proplastid, etioplast, leucoplast, amyloplast, and chromoplast. In general, stromules are more abundant in tissues containing non-green plastids, and in cells containing smaller plastids. The primary function of stromules is still unresolved, although the presence of stromules markedly increases the plastid surface area, potentially increasing transport to and from the cytosol. Other functions of stromules, such as transfer of macromolecules between plastids and starch granule formation in cereal endosperm, may be restricted to particular tissues and cell types."" [PMID:15272881, PMID:15699062, PMID:16582010]",5,322,3,9569,0.009316770186335404,0.6,query_1,"['GO:0009526', 'GO:0110165']"
