source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0140513,nuclear protein-containing complex,3.4305980829426815e-08,True,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together in the nucleus."" [GOC:pg]",504,1312,120,9569,0.09146341463414634,0.23809523809523808,query_1,"['GO:0005634', 'GO:0032991']"
GO:CC,GO:0012505,endomembrane system,4.670466990024512e-08,True,"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]",853,1312,180,9569,0.13719512195121952,0.21101992966002345,query_1,['GO:0110165']
GO:BP,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",1.0276497746338605e-07,True,"""Splicing of RNA via a series of two transesterification reactions with a bulged adenosine residue from the intron branch point as the initiating nucleophile. When the initial RNA for the splicing reaction is a single molecule (cis splicing), the excised intron is released in a lariat structure."" [GOC:krc, PMID:11377794]",156,1607,48,13630,0.029869321717486,0.3076923076923077,query_1,['GO:0000375']
GO:MF,GO:0005515,protein binding,1.1331664874134595e-07,True,"""Binding to a protein."" [GOC:go_curators]",4164,1904,559,17687,0.2935924369747899,0.13424591738712777,query_1,['GO:0005488']
GO:BP,GO:0000375,"RNA splicing, via transesterification reactions",2.1293978344408133e-07,True,"""Splicing of RNA via a series of two transesterification reactions."" [GOC:krc]",159,1607,48,13630,0.029869321717486,0.3018867924528302,query_1,['GO:0008380']
GO:BP,GO:0006397,mRNA processing,2.384829664869772e-07,True,"""Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."" [GOC:mah]",212,1607,58,13630,0.03609209707529558,0.27358490566037735,query_1,"['GO:0006396', 'GO:0016071']"
GO:BP,GO:0016071,mRNA metabolic process,5.515282378211019e-07,True,"""The chemical reactions and pathways involving mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."" [ISBN:0198506732]",301,1607,73,13630,0.04542626011200996,0.2425249169435216,query_1,['GO:0016070']
GO:BP,GO:0051604,protein maturation,6.056762670794798e-07,True,"""Any process leading to the attainment of the full functional capacity of a protein."" [GOC:ai]",290,1607,71,13630,0.04418170504044804,0.24482758620689654,query_1,"['GO:0010467', 'GO:0019538']"
GO:CC,GO:0070013,intracellular organelle lumen,9.504137274518141e-07,True,"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]",380,1312,93,9569,0.07088414634146341,0.24473684210526317,query_1,"['GO:0043229', 'GO:0043233']"
GO:CC,GO:0043233,organelle lumen,9.504137274518141e-07,True,"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]",380,1312,93,9569,0.07088414634146341,0.24473684210526317,query_1,"['GO:0031974', 'GO:0043226']"
GO:CC,GO:0031974,membrane-enclosed lumen,9.504137274518141e-07,True,"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]",380,1312,93,9569,0.07088414634146341,0.24473684210526317,query_1,['GO:0110165']
GO:BP,GO:0008380,RNA splicing,1.106755153893771e-06,True,"""The process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA."" [GOC:krc, GOC:mah]",182,1607,51,13630,0.031736154324828875,0.2802197802197802,query_1,['GO:0006396']
GO:BP,GO:0000398,"mRNA splicing, via spliceosome",3.2969370012348115e-06,True,"""The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."" [GOC:krc, ISBN:0198506732, ISBN:0879695897]",140,1607,42,13630,0.02613565650280025,0.3,query_1,"['GO:0000377', 'GO:0006397']"
GO:CC,GO:0140535,intracellular protein-containing complex,7.584790858965081e-06,True,"""A protein-containing complex located intracellularly."" [GOC:pg]",401,1312,94,9569,0.07164634146341463,0.2344139650872818,query_1,['GO:0032991']
GO:BP,GO:0009408,response to heat,1.2467631511025476e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."" [GOC:lr]",91,1607,31,13630,0.019290603609209707,0.34065934065934067,query_1,"['GO:0006950', 'GO:0009266']"
GO:CC,GO:0005730,nucleolus,1.5553240472109797e-05,True,"""A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."" [ISBN:0198506732]",116,1312,38,9569,0.028963414634146343,0.3275862068965517,query_1,"['GO:0031981', 'GO:0043232']"
GO:BP,GO:0043412,macromolecule modification,1.631165205965944e-05,True,"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]",2295,1607,350,13630,0.2177971375233354,0.15250544662309368,query_1,['GO:0043170']
GO:MF,GO:0003676,nucleic acid binding,1.7656933164090777e-05,True,"""Binding to a nucleic acid."" [GOC:jl]",3667,1904,486,17687,0.2552521008403361,0.13253340605399508,query_1,['GO:0097159']
GO:BP,GO:0043170,macromolecule metabolic process,2.0217784954171374e-05,True,"""The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]",6844,1607,909,13630,0.5656502800248911,0.13281706604324955,query_1,['GO:0008152']
GO:BP,GO:0006139,nucleobase-containing compound metabolic process,2.2253364170000645e-05,True,"""Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:ai]",3553,1607,510,13630,0.31736154324828875,0.14354066985645933,query_1,['GO:0044238']
GO:BP,GO:0009628,response to abiotic stimulus,2.3632713763102642e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",497,1607,100,13630,0.06222775357809583,0.2012072434607646,query_1,['GO:0050896']
GO:CC,GO:0031981,nuclear lumen,4.911502882888474e-05,True,"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]",294,1312,72,9569,0.054878048780487805,0.24489795918367346,query_1,"['GO:0005634', 'GO:0070013']"
GO:BP,GO:0016070,RNA metabolic process,5.63798263328872e-05,True,"""The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [ISBN:0198506732]",2825,1607,415,13630,0.2582451773490977,0.14690265486725665,query_1,['GO:0090304']
GO:BP,GO:0009266,response to temperature stimulus,0.000111724308011942,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a temperature stimulus."" [GOC:hb]",162,1607,43,13630,0.026757934038581208,0.2654320987654321,query_1,['GO:0009628']
GO:BP,GO:0051641,cellular localization,0.00011462157252209965,True,"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]",694,1607,127,13630,0.07902924704418171,0.1829971181556196,query_1,"['GO:0009987', 'GO:0051179']"
GO:BP,GO:0016192,vesicle-mediated transport,0.00012408957143293065,True,"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]",365,1607,77,13630,0.04791537025513379,0.21095890410958903,query_1,"['GO:0006810', 'GO:0009987']"
GO:MF,GO:0051082,unfolded protein binding,0.000152835380475568,True,"""Binding to an unfolded protein."" [GOC:ai]",106,1904,30,17687,0.015756302521008403,0.2830188679245283,query_1,['GO:0005515']
GO:BP,GO:0090304,nucleic acid metabolic process,0.00016011292813902775,True,"""Any cellular metabolic process involving nucleic acids."" [GOC:dph, GOC:tb]",3173,1607,456,13630,0.28375855631611696,0.1437125748502994,query_1,"['GO:0006139', 'GO:0043170']"
GO:CC,GO:0005783,endoplasmic reticulum,0.00020820015656354904,True,"""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]",412,1312,91,9569,0.06935975609756098,0.220873786407767,query_1,"['GO:0005737', 'GO:0012505', 'GO:0043231']"
GO:CC,GO:0097708,intracellular vesicle,0.00023930913378307996,True,"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]",235,1312,59,9569,0.04496951219512195,0.251063829787234,query_1,"['GO:0031982', 'GO:0043231']"
GO:CC,GO:0031410,cytoplasmic vesicle,0.00023930913378307996,True,"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]",235,1312,59,9569,0.04496951219512195,0.251063829787234,query_1,"['GO:0005737', 'GO:0097708']"
GO:BP,GO:0044238,primary metabolic process,0.0002512552842180645,True,"""The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [GOC:go_curators]",8493,1607,1091,13630,0.6789047915370255,0.128458730719416,query_1,['GO:0008152']
GO:CC,GO:0005794,Golgi apparatus,0.0002585813985037141,True,"""A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."" [ISBN:0198506732]",391,1312,87,9569,0.0663109756097561,0.22250639386189258,query_1,"['GO:0005737', 'GO:0012505', 'GO:0043231']"
GO:CC,GO:0032991,protein-containing complex,0.0003490623361239208,True,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]",2098,1312,353,9569,0.2690548780487805,0.1682554814108675,query_1,['GO:0005575']
GO:CC,GO:1990234,transferase complex,0.00035698169468374047,True,"""A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor)."" [GOC:bhm, PMID:16540464]",371,1312,83,9569,0.06326219512195122,0.22371967654986524,query_1,['GO:1902494']
GO:CC,GO:0005681,spliceosomal complex,0.0004252913593113995,True,"""Any of a series of ribonucleoprotein complexes that contain snRNA(s) and small nuclear ribonucleoproteins (snRNPs), and are formed sequentially during the spliceosomal splicing of one or more substrate RNAs, and which also contain the RNA substrate(s) from the initial target RNAs of splicing, the splicing intermediate RNA(s), to the final RNA products. During cis-splicing, the initial target RNA is a single, contiguous RNA transcript, whether mRNA, snoRNA, etc., and the released products are a spliced RNA and an excised intron, generally as a lariat structure. During trans-splicing, there are two initial substrate RNAs, the spliced leader RNA and a pre-mRNA."" [GOC:editors, GOC:mah, ISBN:0198547684, PMID:19239890]",79,1312,27,9569,0.020579268292682928,0.34177215189873417,query_1,"['GO:0140513', 'GO:1990904']"
GO:CC,GO:0031982,vesicle,0.0007083416959429639,True,"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",248,1312,60,9569,0.04573170731707317,0.24193548387096775,query_1,['GO:0043227']
GO:BP,GO:0070727,cellular macromolecule localization,0.0007292267484184474,True,"""Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."" [GOC:mah]",546,1607,102,13630,0.06347230864965775,0.18681318681318682,query_1,"['GO:0033036', 'GO:0051641']"
GO:BP,GO:0016072,rRNA metabolic process,0.0008019655440777966,True,"""The chemical reactions and pathways involving rRNA, ribosomal RNA, a structural constituent of ribosomes."" [ISBN:0198506732]",145,1607,38,13630,0.023646546359676415,0.2620689655172414,query_1,['GO:0016070']
GO:BP,GO:0006457,protein folding,0.0010202952517983878,True,"""The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."" [GOC:go_curators, GOC:rb]",192,1607,46,13630,0.02862476664592408,0.23958333333333334,query_1,"['GO:0009987', 'GO:0051604']"
GO:CC,GO:0005768,endosome,0.001035169946812916,True,"""A vacuole to which materials ingested by endocytosis are delivered."" [ISBN:0198506732, PMID:19696797]",135,1312,38,9569,0.028963414634146343,0.2814814814814815,query_1,"['GO:0012505', 'GO:0031410']"
GO:MF,GO:0003729,mRNA binding,0.001081902835171591,True,"""Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."" [GOC:kmv, GOC:pr, SO:0000234]",145,1904,35,17687,0.01838235294117647,0.2413793103448276,query_1,['GO:0003723']
GO:BP,GO:0008104,protein localization,0.0011002016137050359,True,"""Any process in which a protein is transported to, or maintained in, a specific location."" [GOC:ai]",544,1607,101,13630,0.06285003111387678,0.18566176470588236,query_1,['GO:0070727']
GO:BP,GO:0006364,rRNA processing,0.0029032259882763923,True,"""Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules."" [GOC:curators]",141,1607,36,13630,0.0224019912881145,0.2553191489361702,query_1,"['GO:0006396', 'GO:0016072', 'GO:0042254']"
GO:BP,GO:0006360,transcription by RNA polymerase I,0.005568972654144273,True,"""The synthesis of RNA from a DNA template by RNA polymerase I (RNAP I), originating at an RNAP I promoter."" [GOC:jl, GOC:txnOH]",18,1607,10,13630,0.006222775357809583,0.5555555555555556,query_1,['GO:0006351']
GO:MF,GO:0008270,zinc ion binding,0.0057750565043611325,True,"""Binding to a zinc ion (Zn)."" [GOC:ai]",693,1904,110,17687,0.05777310924369748,0.15873015873015872,query_1,['GO:0046914']
GO:BP,GO:0034605,cellular response to heat,0.0065901979839023475,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."" [GOC:mah]",42,1607,16,13630,0.009956440572495333,0.38095238095238093,query_1,"['GO:0009408', 'GO:0033554']"
GO:BP,GO:0043687,post-translational protein modification,0.006660016583062561,True,"""The process of covalently altering one or more amino acids in a protein after the protein has been completely translated and released from the ribosome."" [GOC:jsg]",357,1607,70,13630,0.043559427504667084,0.19607843137254902,query_1,['GO:0036211']
GO:BP,GO:0009987,cellular process,0.007021866537793215,True,"""Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators, GOC:isa_complete]",12417,1607,1508,13630,0.9383945239576851,0.12144640412337923,query_1,['GO:0008150']
GO:CC,GO:0005634,nucleus,0.0072903859062254635,True,"""A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."" [GOC:go_curators]",2622,1312,419,9569,0.31935975609756095,0.15980167810831428,query_1,['GO:0043231']
GO:CC,GO:0031984,organelle subcompartment,0.007804359772303099,True,"""A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."" [GOC:mah, GOC:pz]",290,1312,64,9569,0.04878048780487805,0.2206896551724138,query_1,"['GO:0043227', 'GO:0043229', 'GO:0110165']"
GO:MF,GO:0005488,binding,0.009337920834131798,True,"""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."" [GOC:ceb, GOC:mah, ISBN:0198506732]",11692,1904,1337,17687,0.7022058823529411,0.11435169346561752,query_1,['GO:0003674']
GO:BP,GO:0070647,protein modification by small protein conjugation or removal,0.009974751466785926,True,"""A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to or removed from a target protein."" [GOC:mah]",348,1607,68,13630,0.042314872433105166,0.19540229885057472,query_1,['GO:0043687']
GO:BP,GO:0022613,ribonucleoprotein complex biogenesis,0.01116830463275293,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a complex containing RNA and proteins. Includes the biosynthesis of the constituent RNA and protein molecules, and those macromolecular modifications that are involved in synthesis or assembly of the ribonucleoprotein complex."" [GOC:isa_complete, GOC:mah]",310,1607,62,13630,0.038581207218419414,0.2,query_1,['GO:0044085']
GO:BP,GO:0070646,protein modification by small protein removal,0.012790683531679094,True,"""A protein modification process in which one or more covalently attached groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are removed from a target protein."" [GOC:mah]",58,1607,19,13630,0.011823273179838207,0.3275862068965517,query_1,['GO:0070647']
GO:MF,GO:0019783,ubiquitin-like protein peptidase activity,0.01333359882235191,True,"""An isopeptidase activity that cleaves ubiquitin or ubiquitin-like proteins (ULP; e.g. ATG8, ISG15, NEDD8, SUMO) from target proteins."" [PMID:19489724]",55,1904,17,17687,0.008928571428571428,0.3090909090909091,query_1,['GO:0008233']
GO:MF,GO:0003697,single-stranded DNA binding,0.013575489472080215,True,"""Binding to single-stranded DNA."" [GOC:elh, GOC:vw, PMID:22976174]",40,1904,14,17687,0.007352941176470588,0.35,query_1,['GO:0003677']
GO:BP,GO:0009651,response to salt stress,0.01618910709734847,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."" [GOC:jl]",95,1607,26,13630,0.016179215930304917,0.2736842105263158,query_1,['GO:0006970']
GO:BP,GO:0045184,establishment of protein localization,0.017698032848313613,True,"""The directed movement of a protein to a specific location."" [GOC:bf]",496,1607,89,13630,0.05538270068450529,0.17943548387096775,query_1,"['GO:0008104', 'GO:0051234']"
GO:MF,GO:0004843,cysteine-type deubiquitinase activity,0.018236699744745257,True,"""An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."" [GOC:jh2, PMID:30783221]",51,1904,16,17687,0.008403361344537815,0.3137254901960784,query_1,"['GO:0008234', 'GO:0101005']"
GO:BP,GO:0010608,post-transcriptional regulation of gene expression,0.019861749585725702,True,"""Any process that modulates the frequency, rate or extent of gene expression after the production of an RNA transcript."" [GOC:dph, GOC:tb]",80,1607,23,13630,0.01431238332296204,0.2875,query_1,['GO:0010468']
GO:MF,GO:0016896,"RNA exonuclease activity, producing 5'-phosphomonoesters",0.021140253055235023,True,"""Catalysis of the hydrolysis of ester linkages within ribonucleic acids by removing nucleotide residues from the 3' or 5' end to yield 5' phosphomonoesters."" [GOC:ai]",19,1904,9,17687,0.004726890756302521,0.47368421052631576,query_1,"['GO:0004532', 'GO:0016796']"
GO:MF,GO:0004532,RNA exonuclease activity,0.021140253055235023,True,"""Catalysis of the sequential cleavage of mononucleotides from a free 5' or 3' terminus of an RNA molecule."" [GOC:mah, ISBN:0198547684]",19,1904,9,17687,0.004726890756302521,0.47368421052631576,query_1,"['GO:0004527', 'GO:0004540']"
GO:BP,GO:0006383,transcription by RNA polymerase III,0.02116150533451469,True,"""The synthesis of RNA from a DNA template by RNA polymerase III, originating at an RNAP III promoter."" [GOC:jl, GOC:txnOH, PMID:12381659]",28,1607,12,13630,0.0074673304293715,0.42857142857142855,query_1,['GO:0006351']
GO:MF,GO:0016779,nucleotidyltransferase activity,0.022132136360390763,True,"""Catalysis of the transfer of a nucleotidyl group from one compound (donor) to another (acceptor)."" [EC:2.7.7.-]",172,1904,36,17687,0.018907563025210083,0.20930232558139536,query_1,['GO:0016772']
GO:MF,GO:0101005,deubiquitinase activity,0.02373224761623363,True,"""An isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."" [GOC:mec, PMID:30783221]",52,1904,16,17687,0.008403361344537815,0.3076923076923077,query_1,['GO:0019783']
GO:CC,GO:0098791,Golgi apparatus subcompartment,0.024747216904550073,True,"""A compartment that consists of a lumen and an enclosing membrane, and is part of the Golgi apparatus."" [GOC:dos]",112,1312,30,9569,0.022865853658536585,0.26785714285714285,query_1,"['GO:0005794', 'GO:0031984']"
GO:CC,GO:0101031,protein folding chaperone complex,0.025292390484141062,True,"""A protein complex required for the non-covalent folding or unfolding, maturation, stabilization or assembly or disassembly of macromolecular structures. Usually active during or immediately after completion of translation. Many chaperone complexes contain heat shock proteins."" [GOC:bhm, PMID:21855797]",11,1312,7,9569,0.005335365853658537,0.6363636363636364,query_1,['GO:0140535']
GO:MF,GO:0140640,"catalytic activity, acting on a nucleic acid",0.02774546615197392,True,"""Catalytic activity that acts to modify a nucleic acid."" [GOC:pg]",680,1904,105,17687,0.05514705882352941,0.15441176470588236,query_1,['GO:0003824']
GO:BP,GO:0006511,ubiquitin-dependent protein catabolic process,0.027945769974517223,True,"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."" [GOC:go_curators]",280,1607,56,13630,0.03484754200373367,0.2,query_1,['GO:0019941']
GO:CC,GO:0005829,cytosol,0.03371493350531416,True,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",750,1312,136,9569,0.10365853658536585,0.18133333333333335,query_1,"['GO:0005737', 'GO:0110165']"
GO:CC,GO:1902494,catalytic complex,0.03539223412173054,True,"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]",738,1312,134,9569,0.10213414634146341,0.18157181571815717,query_1,['GO:0032991']
GO:BP,GO:0033036,macromolecule localization,0.035923230142564294,True,"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]",689,1607,115,13630,0.0715619166148102,0.16690856313497823,query_1,['GO:0051179']
GO:BP,GO:0000422,autophagy of mitochondrion,0.03724582748429725,True,"""The autophagic process in which mitochondria are delivered to a type of vacuole and degraded in response to changing cellular conditions."" [GOC:autophagy, PMID:15798367, PMID:19289147, PMID:23065344]",8,1607,6,13630,0.00373366521468575,0.75,query_1,['GO:0006914']
GO:BP,GO:0010498,proteasomal protein catabolic process,0.03760142534398705,True,"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome."" [GOC:tb]",122,1607,30,13630,0.018668326073428748,0.2459016393442623,query_1,"['GO:0030163', 'GO:0051603']"
GO:BP,GO:0046907,intracellular transport,0.03842444410347231,True,"""The directed movement of substances within a cell."" [GOC:ai]",444,1607,80,13630,0.049782202862476664,0.18018018018018017,query_1,"['GO:0006810', 'GO:0051641', 'GO:0051649']"
GO:BP,GO:0015031,protein transport,0.04113792320932538,True,"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",438,1607,79,13630,0.049159925326695705,0.18036529680365296,query_1,"['GO:0045184', 'GO:0071705']"
GO:BP,GO:0051649,establishment of localization in cell,0.045717831710340946,True,"""Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]",460,1607,82,13630,0.05102675793403858,0.1782608695652174,query_1,"['GO:0051234', 'GO:0051641']"
